date,Closed PnL_sum,Closed PnL_mean,Closed PnL_count,Closed PnL_std,Closed PnL_min,Closed PnL_max,Size USD_sum,Size USD_mean,Size USD_count,Size USD_std,Size USD_min,Size USD_max,Start Position_mean,Start Position_std,Start Position_min,Start Position_max,buy_count,sell_count,buy_ratio,total_trades,Execution Price_mean,Execution Price_std,Execution Price_min,Execution Price_max,Size Tokens_mean,Size Tokens_std,Size Tokens_min,Size Tokens_max,Order ID_mean,Order ID_std,Order ID_min,Order ID_max,Fee_mean,Fee_std,Fee_min,Fee_max,Trade ID_mean,Trade ID_std,Trade ID_min,Trade ID_max,net_pnl_per_trade,total_volume,avg_trade_size,profit_ratio,value_mean,value_min,value_max,value_std,classification_first,sentiment_numeric,is_fear,is_greed,is_neutral,datetime,day_of_week,month,quarter,year,is_weekend,pnl_7d_avg,pnl_30d_avg,sentiment_7d_avg,sentiment_30d_avg,volume_7d_avg
2024-07-03,119572.104755,76.452752,1564,1292.540311,-18360.67007,18282.19011,13777564.09,8809.184201,1564,13416.890331,0.0,111779.98,8903.048681,21725.240112,-164.9272,85393.7,0,0,0.0,1564,2619.566468,1246.247043,1e-05,3792.8,131.923227,1841.994883,0.0028,67236.86827,28603872024.0422,3725199482.564955,21668263210.0,36127031946.0,3.005454,4.684222,0.0,39.122994,552276019181585.7,331718091393166.1,0.0,1130000000000000.0,76.45275240089514,13777564.09,8809.184201,1,50.0,50,50,,Neutral,3,0,0,1,2024-07-03,2,7,3,2024,False,119572.104755,119572.104755,50.0,50.0,13777564.09
2024-10-27,54376.258249,13.230233,4110,2123.115264,-117990.1041,29999.90625,45064784.58,10964.667781,4110,26904.748974,0.02,814524.17,10540.60256,137679.410978,-237820.0,2440391.0,0,0,0.0,4110,35417.784258,43309.098191,1.5e-05,107110.0,3273.973527,55493.616824,1e-05,2440391.0,51058878657.41144,5647902299.24208,36215401109.0,58096086419.0,3.037615,6.823369,0.0,164.491646,557791554662195.94,323506295283926.94,0.0,1130000000000000.0,13.230233150608273,45064784.58,10964.667781,1,74.0,74,74,,Greed,4,0,1,0,2024-10-27,6,10,4,2024,True,86974.18150199999,86974.18150199999,62.0,62.0,29421174.335
2025-02-19,3197553.749214,154.247648,20730,1921.144973,-29370.1198,135329.0901,321300237.93,15499.287889,20730,67077.078605,0.01,3509752.98,-19640.863791,823476.438345,-14334629.0,8071225.0,0,0,0.0,20730,35754.894295,43580.063539,0.00418,108410.0,12659.120112,163146.997345,1e-05,8071225.0,74695351120.1275,8181186350.897535,58281832431.0,87324084209.0,3.046635,11.073428,0.0,539.021456,564374908956025.1,326221025066466.9,3739256352.0,1130000000000000.0,154.24764829782924,321300237.93,15499.287889,1,44.0,44,44,,Fear,2,1,0,0,2025-02-19,2,2,1,2025,False,1123834.037406,1123834.037406,56.0,56.0,126714195.53333335
